optimizer,n_layers,n_neurons,learning_rate,mse,loc,model
sgd,5,50,0.008877755,1.1571369171142578,Bilbao-Vizcaya,COP
sgd,5,100,0.008777678,0.7719162702560425,Bilbao-Vizcaya,COP
sgd,5,200,0.008580896,0.4896998107433319,Bilbao-Vizcaya,COP
sgd,10,10,0.0071981065,1.5105198621749878,Bilbao-Vizcaya,COP
sgd,10,50,0.008777678,0.2998177409172058,Bilbao-Vizcaya,COP
sgd,10,100,0.008777678,0.34341418743133545,Bilbao-Vizcaya,COP
sgd,10,200,0.008877755,0.8933771848678589,Bilbao-Vizcaya,COP
sgd,15,10,0.008532394,1.4525443315505981,Bilbao-Vizcaya,COP
sgd,15,50,0.008580896,0.3812108039855957,Bilbao-Vizcaya,COP
sgd,15,100,0.008728064,0.32257214188575745,Bilbao-Vizcaya,COP
sgd,15,200,0.008728064,0.422147274017334,Bilbao-Vizcaya,COP
rmsprop,1,10,0.0084362095,0.24356351792812347,Bilbao-Vizcaya,COP
rmsprop,1,50,0.007836905,0.16472922265529633,Bilbao-Vizcaya,COP
rmsprop,1,100,0.008062196,0.21653445065021515,Bilbao-Vizcaya,COP
rmsprop,1,200,0.008877755,0.2718905508518219,Bilbao-Vizcaya,COP
rmsprop,5,10,0.008877755,1.808293342590332,Bilbao-Vizcaya,COP
rmsprop,5,50,0.008877755,0.614496648311615,Bilbao-Vizcaya,COP
rmsprop,5,100,0.008777678,0.6141690015792847,Bilbao-Vizcaya,COP
rmsprop,5,200,0.008777678,0.8696168661117554,Bilbao-Vizcaya,COP
rmsprop,10,10,0.008580896,2.2078938484191895,Bilbao-Vizcaya,COP
rmsprop,10,50,0.008877755,0.4918627142906189,Bilbao-Vizcaya,COP
rmsprop,10,100,0.008877755,0.7272917628288269,Bilbao-Vizcaya,COP
rmsprop,10,200,0.008877755,0.5101434588432312,Bilbao-Vizcaya,COP
rmsprop,15,10,0.008877755,1.6284512281417847,Bilbao-Vizcaya,COP
rmsprop,15,50,0.008877755,0.7644537091255188,Bilbao-Vizcaya,COP
rmsprop,15,100,0.008877755,0.7238566279411316,Bilbao-Vizcaya,COP
rmsprop,15,200,0.008777678,0.7500989437103271,Bilbao-Vizcaya,COP
adam,1,10,0.008992985,0.30535009503364563,Cabo_de_Pennas,GOW
adam,1,50,0.00854787,0.19986817240715027,Cabo_de_Pennas,GOW
adam,1,100,0.0076870876,0.23559212684631348,Cabo_de_Pennas,GOW
adam,1,200,0.008747396,0.2760985791683197,Cabo_de_Pennas,GOW
adam,5,10,0.008910365,1.8699270486831665,Cabo_de_Pennas,GOW
adam,5,50,0.009076371,1.0918362140655518,Cabo_de_Pennas,GOW
adam,5,100,0.00895158,0.43925291299819946,Cabo_de_Pennas,GOW
adam,5,200,0.008707122,0.22800962626934052,Cabo_de_Pennas,GOW
adam,10,10,0.008992985,2.5436885356903076,Cabo_de_Pennas,GOW
adam,10,50,0.009076371,0.33032312989234924,Cabo_de_Pennas,GOW
adam,10,100,0.009076371,0.751936137676239,Cabo_de_Pennas,GOW
adam,10,200,0.008992985,0.822437047958374,Cabo_de_Pennas,GOW
adam,15,10,0.008787857,0.8213894963264465,Cabo_de_Pennas,GOW
adam,15,50,0.009076371,1.2858302593231201,Cabo_de_Pennas,GOW
adam,15,100,0.009076371,1.7709051370620728,Cabo_de_Pennas,GOW
adam,15,200,0.009076371,1.7705916166305542,Cabo_de_Pennas,GOW
sgd,1,10,0.008124786,0.2876441776752472,Cabo_de_Pennas,GOW
sgd,1,50,0.0069129863,0.2562110722064972,Cabo_de_Pennas,GOW
sgd,1,100,0.0077226437,0.2509433925151825,Cabo_de_Pennas,GOW
sgd,1,200,0.008391531,0.24641507863998413,Cabo_de_Pennas,GOW
sgd,5,10,0.008992985,1.0752536058425903,Cabo_de_Pennas,GOW
sgd,5,50,0.009034582,0.9896424412727356,Cabo_de_Pennas,GOW
sgd,5,100,0.009034582,0.7256679534912109,Cabo_de_Pennas,GOW
sgd,5,200,0.008869341,0.49595046043395996,Cabo_de_Pennas,GOW
sgd,10,10,0.008828505,1.1369763612747192,Cabo_de_Pennas,GOW
sgd,10,50,0.008828505,0.38462719321250916,Cabo_de_Pennas,GOW
sgd,10,100,0.008828505,0.400255411863327,Cabo_de_Pennas,GOW
sgd,10,200,0.00895158,0.8725768327713013,Cabo_de_Pennas,GOW
sgd,15,10,0.008992985,1.7826370000839233,Cabo_de_Pennas,GOW
sgd,15,50,0.008869341,0.39648327231407166,Cabo_de_Pennas,GOW
sgd,15,100,0.008992985,0.37281090021133423,Cabo_de_Pennas,GOW
sgd,15,200,0.008992985,0.42459574341773987,Cabo_de_Pennas,GOW
rmsprop,1,10,0.008508515,0.24826599657535553,Cabo_de_Pennas,GOW
rmsprop,1,50,0.007616465,0.2102821171283722,Cabo_de_Pennas,GOW
rmsprop,1,100,0.008910365,0.1930525302886963,Cabo_de_Pennas,GOW
rmsprop,1,200,0.008707122,0.2048245370388031,Cabo_de_Pennas,GOW
rmsprop,5,10,0.009034582,1.5324195623397827,Cabo_de_Pennas,GOW
rmsprop,5,50,0.008992985,0.8649073839187622,Cabo_de_Pennas,GOW
rmsprop,5,100,0.008992985,0.5452427268028259,Cabo_de_Pennas,GOW
rmsprop,5,200,0.008992985,0.45969900488853455,Cabo_de_Pennas,GOW
rmsprop,10,10,0.008747396,1.6520698070526123,Cabo_de_Pennas,GOW
rmsprop,10,50,0.00854787,0.7496809959411621,Cabo_de_Pennas,GOW
rmsprop,10,100,0.008992985,0.6710028052330017,Cabo_de_Pennas,GOW
rmsprop,10,200,0.009076371,0.537571907043457,Cabo_de_Pennas,GOW
rmsprop,15,10,0.009034582,0.8789535164833069,Cabo_de_Pennas,GOW
rmsprop,15,50,0.009076371,0.8912683725357056,Cabo_de_Pennas,GOW
