Nombre,Modelo,bias_gow,bias_cop,rmse_gow,rmse_cop,pearson_gow,pearson_cop,si_gow,si_cop
Bilbao-Vizcaya,Base,-0.08938559135771,-0.3001268739901446,0.3553958897022692,0.4788447569874494,0.9592736325956064,0.9577605358192508,0.1843024820578942,0.248321040817689
Cabo_de_Pennas,Base,-0.3140294780880374,-0.1579121227003027,0.5071073978179009,0.383621694388536,0.9448675747663984,0.9517125633017628,0.2503369285741392,0.1893773924830784
Estaca_de_Bares,Base,0.0659983910606757,-0.1935607990322911,0.3819924817873678,0.4427903265310626,0.9608074181378624,0.9552643378084188,0.1543743138849854,0.1789444978950942
Villano-Sisargas,Base,0.1008405440431188,-0.1772148126666378,0.4095513367121609,0.4177181510121394,0.9539064451855296,0.956025848239928,0.16212507119717,0.1653579878822122
Cabo_Silleiro,Base,-0.0172852433683266,-0.2141029726854855,0.3628491163253784,0.4023067355155945,0.96179821436846,0.9676752903498302,0.1512319594621658,0.1676775068044662
Golfo_de_Cadiz,Base,-0.0874544755334321,-0.2959173101698747,0.2725568112840415,0.4574890597977645,0.9232996307977644,0.8467293235298756,0.2239163665995392,0.3758456358010403
Cabo_de_Gata,Base,-0.1386033320659329,-0.495426846878628,0.3309670727501781,0.6378222158998292,0.9123868937801982,0.8818426825501782,0.3241675727053495,0.6247185794880066
Cabo_de_Palos,Base,-0.0876856018463106,-0.4370343306602541,0.2665226757526397,0.5300686359405518,0.916100840549362,0.898696057415769,0.261067122220993,0.5192184448242188
Valencia,Base,-0.3392212119271094,-0.5303709871855369,0.4533790647983551,0.626156210899353,0.8250034615273227,0.8273041625956941,0.5502698421478271,0.7599709033966064
Tarragona,Base,-0.1807465325542515,-0.4982406033970912,0.3044856089514389,0.5961667233069942,0.9095662592881104,0.8647718553931484,0.3431392258958621,0.6718484615575387
Cabo_Begur,Base,-0.2399118041181671,-0.6537842662505203,0.4585493858500348,0.8617489837749528,0.9354658884364376,0.911349437514956,0.3497502909505844,0.6572835273630261
Dragonera,Base,-0.2340163617892147,-0.4989896590562952,0.4025884242873147,0.6484963409389021,0.922363064727896,0.8904519052069569,0.375132333428902,0.6042695987277062
Mahon,Base,-0.1265397364768977,-0.4829050923480349,0.3331941233708246,0.6539185173828027,0.9516942504389516,0.9232496026614704,0.2562066915510793,0.5028248943519781
Gran_Canaria,Base,-0.0014542122109728,-0.2325501878891025,0.2446421086788177,0.3316211998462677,0.9214209115037214,0.9274940779481604,0.1457185894250869,0.1975267976522445
Tenerife,Base,-0.1874843678618257,-0.0829890805864649,0.2901662588119507,0.2338802069425583,0.7884056565407794,0.7944765069413816,0.3314538598060608,0.2671588957309723
Bilbao-Vizcaya,Lineal,0.0213152018342477,-0.0951881176121757,0.3796709087530751,0.3834952903067303,0.9577902462014646,0.9586879256532572,0.185607819347407,0.1874774256410724
Cabo_de_Pennas,Lineal,-0.0545479678705141,-0.2627035792322541,0.4217545776927578,0.4487900146665262,0.9438498731997362,0.9596464441532208,0.1965391881853668,0.2091378014929666
Estaca_de_Bares,Lineal,-0.0103196480792182,-0.258174227570117,0.3981699324902046,0.4870721178601545,0.9625198419031948,0.9603650726489344,0.1525383806343901,0.1865966916333608
Villano-Sisargas,Lineal,0.0670687222734052,-0.1598459981747628,0.410714451917372,0.4278908592133251,0.9563134595404472,0.9570567944866004,0.1540620402452008,0.160505038147377
Cabo_Silleiro,Lineal,0.0909644508201039,-0.0711142745504355,0.4185214936733246,0.3643787205219269,0.9606828166536372,0.966400777053386,0.16482475399971,0.1435019075870514
Golfo_de_Cadiz,Lineal,-0.1664030367212807,-0.3379141975005914,0.3049695735033001,0.4803514651244744,0.9247766428282258,0.8577423482336562,0.2428962928354168,0.3825810843898278
Cabo_de_Gata,Lineal,-0.0619771465357423,-0.1925470397622792,0.2928753604269326,0.4035540907771861,0.9254054898257448,0.8805578210454919,0.2863689474945327,0.3945888792574187
Cabo_de_Palos,Lineal,-0.065241004556523,-0.2631419140163814,0.2736649513244629,0.3919690549373626,0.909708561752224,0.8904344019914181,0.2715839743614197,0.3889884650707245
Valencia,Lineal,-0.1576260914522058,-0.2966340507557189,0.3426481187343597,0.4054899215698242,0.8069648548920773,0.8390813548534832,0.4256498217582702,0.5037142038345337
Tarragona,Lineal,-0.0978258852093886,-0.3489869380630376,0.2622994623262249,0.4559363610609049,0.9160959245042912,0.8729768539175846,0.2988358460957618,0.5194449390597774
Cabo_Begur,Lineal,0.1935005545167896,-0.2064086661798164,0.3977320772350501,0.466744257258836,0.9559173721287636,0.9138803908190528,0.3024122214256693,0.3548850488916007
Dragonera,Lineal,-0.0470069535273951,-0.2856894878289712,0.3062827097184101,0.4592266448009209,0.9299504293657974,0.8993503124837533,0.2862761541279768,0.4292297069840111
Mahon,Lineal,0.0165732564516414,-0.2163138037914551,0.3039307163555962,0.4289425999567924,0.9572672582703295,0.9355593011057484,0.2229791770250739,0.3146943128231139
Gran_Canaria,Lineal,-0.0300646456115006,-0.1369246651117728,0.2525484263896942,0.277766615152359,0.924953309558443,0.9283915451376574,0.1464516222476959,0.1610755324363708
Tenerife,Lineal,-0.112649472638958,-0.0981809186323283,0.2426355332136154,0.236243799328804,0.7936407667617128,0.7936200059626279,0.2840445637702942,0.276561975479126
Bilbao-Vizcaya,No_Lineal,0.03148081515237592,-0.01674393728009297,0.3802672444402607,0.3727336224906713,0.9577906898102988,0.958537753718678,0.18589934699397095,0.18221642288887324
