optimizer,n_layers,n_neurons,learning_rate,mse,loc,model
sgd,1,10,0.008177517,0.08125817030668259,Estaca_de_Bares,GOW
sgd,1,50,0.0067795455,0.07638926059007645,Estaca_de_Bares,GOW
sgd,1,100,0.008029305,0.075859434902668,Estaca_de_Bares,GOW
sgd,1,200,0.007847812,0.07660818099975586,Estaca_de_Bares,GOW
sgd,5,10,0.009042962,0.46077683568000793,Estaca_de_Bares,GOW
sgd,5,50,0.009042962,0.4290795624256134,Estaca_de_Bares,GOW
sgd,5,100,0.009001707,0.2846900224685669,Estaca_de_Bares,GOW
sgd,5,200,0.008960639,0.2474307268857956,Estaca_de_Bares,GOW
sgd,10,10,0.008919759,0.8101107478141785,Estaca_de_Bares,GOW
sgd,10,50,0.008678364,0.20292238891124725,Estaca_de_Bares,GOW
sgd,10,100,0.008103073,0.17876099050045013,Estaca_de_Bares,GOW
sgd,10,200,0.008919759,0.1797773241996765,Estaca_de_Bares,GOW
sgd,15,10,0.008919759,1.5111459493637085,Estaca_de_Bares,GOW
sgd,15,50,0.008758094,0.2713383436203003,Estaca_de_Bares,GOW
sgd,15,100,0.008919759,0.6826029419898987,Estaca_de_Bares,GOW
sgd,15,200,0.008919759,0.36836281418800354,Estaca_de_Bares,GOW
rmsprop,1,10,0.008328465,0.07651283591985703,Estaca_de_Bares,GOW
rmsprop,1,50,0.009042962,0.12244471162557602,Estaca_de_Bares,GOW
rmsprop,1,100,0.007600593,0.11655818670988083,Estaca_de_Bares,GOW
rmsprop,1,200,0.0077408915,0.0961521714925766,Estaca_de_Bares,GOW
rmsprop,5,10,0.009042962,0.5808811187744141,Estaca_de_Bares,GOW
rmsprop,5,50,0.008960639,0.47423163056373596,Estaca_de_Bares,GOW
rmsprop,5,100,0.009084407,0.33992207050323486,Estaca_de_Bares,GOW
rmsprop,5,200,0.009042962,0.31606993079185486,Estaca_de_Bares,GOW
rmsprop,10,10,0.009084407,1.3606288433074951,Estaca_de_Bares,GOW
rmsprop,10,50,0.009084407,0.5289432406425476,Estaca_de_Bares,GOW
rmsprop,10,100,0.009001707,0.341337114572525,Estaca_de_Bares,GOW
rmsprop,10,200,0.008879065,0.34479087591171265,Estaca_de_Bares,GOW
rmsprop,15,10,0.008103073,0.8011427521705627,Estaca_de_Bares,GOW
rmsprop,15,50,0.009084407,1.0284717082977295,Estaca_de_Bares,GOW
rmsprop,15,100,0.009042962,0.5218388438224792,Estaca_de_Bares,GOW
rmsprop,15,200,0.008919759,1.044509768486023,Estaca_de_Bares,GOW
adam,1,10,0.0076704207,0.0793662890791893,Estaca_de_Bares,COP
adam,1,50,0.009084407,0.07964533567428589,Estaca_de_Bares,COP
adam,1,100,0.007705576,0.08739198744297028,Estaca_de_Bares,COP
adam,1,200,0.007032141,0.08092428743839264,Estaca_de_Bares,COP
adam,5,10,0.008960639,0.7171401977539062,Estaca_de_Bares,COP
adam,5,50,0.009084407,0.49779078364372253,Estaca_de_Bares,COP
adam,5,100,0.009084407,0.23421956598758698,Estaca_de_Bares,COP
adam,5,200,0.009042962,0.4145280420780182,Estaca_de_Bares,COP
adam,10,10,0.008678364,0.7973698377609253,Estaca_de_Bares,COP
adam,10,50,0.009084407,1.0145971775054932,Estaca_de_Bares,COP
adam,10,100,0.009084407,1.0340770483016968,Estaca_de_Bares,COP
adam,10,200,0.009084407,0.31524407863616943,Estaca_de_Bares,COP
adam,15,10,0.008960639,1.5060408115386963,Estaca_de_Bares,COP
adam,15,50,0.008252646,1.033674716949463,Estaca_de_Bares,COP
adam,15,100,0.009084407,1.0472387075424194,Estaca_de_Bares,COP
adam,15,200,0.007919911,1.041525959968567,Estaca_de_Bares,COP
sgd,1,10,0.008177517,0.08083204180002213,Estaca_de_Bares,COP
sgd,1,50,0.006330127,0.08012314140796661,Estaca_de_Bares,COP
sgd,1,100,0.007294148,0.08036686480045319,Estaca_de_Bares,COP
sgd,1,200,0.0065659783,0.08096708357334137,Estaca_de_Bares,COP
sgd,5,10,0.009001707,0.5219491720199585,Estaca_de_Bares,COP
sgd,5,50,0.009042962,0.41523507237434387,Estaca_de_Bares,COP
sgd,5,100,0.009001707,0.27780967950820923,Estaca_de_Bares,COP
sgd,5,200,0.008879065,0.210281640291214,Estaca_de_Bares,COP
sgd,10,10,0.009001707,0.9187992811203003,Estaca_de_Bares,COP
sgd,10,50,0.008758094,0.21673771739006042,Estaca_de_Bares,COP
sgd,10,100,0.008252646,0.1959507018327713,Estaca_de_Bares,COP
sgd,10,200,0.008838557,0.17916744947433472,Estaca_de_Bares,COP
sgd,15,10,0.008919759,1.5469738245010376,Estaca_de_Bares,COP
sgd,15,50,0.008758094,0.2908136248588562,Estaca_de_Bares,COP
sgd,15,100,0.008960639,0.5518878102302551,Estaca_de_Bares,COP
sgd,15,200,0.008838557,0.1919027864933014,Estaca_de_Bares,COP
rmsprop,1,10,0.008252646,0.08393970131874084,Estaca_de_Bares,COP
rmsprop,1,50,0.008328465,0.09571386873722076,Estaca_de_Bares,COP
rmsprop,1,100,0.0076704207,0.11373482644557953,Estaca_de_Bares,COP
rmsprop,1,200,0.008252646,0.09031511098146439,Estaca_de_Bares,COP
rmsprop,5,10,0.008960639,0.44040852785110474,Estaca_de_Bares,COP
rmsprop,5,50,0.009084407,0.4189857840538025,Estaca_de_Bares,COP
rmsprop,5,100,0.008960639,0.2973414659500122,Estaca_de_Bares,COP
rmsprop,5,200,0.009001707,0.1240784078836441,Estaca_de_Bares,COP
rmsprop,10,10,0.009042962,1.1581566333770752,Estaca_de_Bares,COP
rmsprop,10,50,0.009084407,0.5161783695220947,Estaca_de_Bares,COP
rmsprop,10,100,0.009042962,0.282127320766449,Estaca_de_Bares,COP
rmsprop,10,200,0.009001707,0.25131458044052124,Estaca_de_Bares,COP
rmsprop,15,10,0.009084407,1.0441668033599854,Estaca_de_Bares,COP
rmsprop,15,50,0.009001707,0.39496681094169617,Estaca_de_Bares,COP
rmsprop,15,100,0.009084407,1.04414963722229,Estaca_de_Bares,COP
rmsprop,15,200,0.009084407,1.0443358421325684,Estaca_de_Bares,COP
adam,1,10,0.008718138,0.09493838250637054,Villano-Sisargas,GOW
adam,1,50,0.0078050974,0.08610478788614273,Villano-Sisargas,GOW
adam,1,100,0.008718138,0.08383850008249283,Villano-Sisargas,GOW
adam,1,200,0.0083777495,0.08381468057632446,Villano-Sisargas,GOW
adam,5,10,0.009112591,0.8109742999076843,Villano-Sisargas,GOW
adam,5,50,0.009112591,0.460602730512619,Villano-Sisargas,GOW
adam,5,100,0.009112591,0.360856831073761,Villano-Sisargas,GOW
adam,5,200,0.009112591,0.1631442904472351,Villano-Sisargas,GOW
adam,10,10,0.009112591,1.5053367614746094,Villano-Sisargas,GOW
adam,10,50,0.009112591,0.5527665019035339,Villano-Sisargas,GOW
adam,10,100,0.009072355,0.45986443758010864,Villano-Sisargas,GOW
adam,10,200,0.009112591,0.30130818486213684,Villano-Sisargas,GOW
adam,15,10,0.009112591,2.201101779937744,Villano-Sisargas,GOW
adam,15,50,0.008873828,1.0823818445205688,Villano-Sisargas,GOW
adam,15,100,0.009112591,1.0754790306091309,Villano-Sisargas,GOW
adam,15,200,0.009112591,1.0865296125411987,Villano-Sisargas,GOW
sgd,1,10,0.007770635,0.08849415928125381,Villano-Sisargas,GOW
sgd,1,50,0.008340759,0.08465994894504547,Villano-Sisargas,GOW
sgd,1,100,0.007770635,0.08416279405355453,Villano-Sisargas,GOW
sgd,1,200,0.007207517,0.08426722139120102,Villano-Sisargas,GOW
sgd,5,10,0.009032298,0.550775945186615,Villano-Sisargas,GOW
sgd,5,50,0.009072355,0.3833968937397003,Villano-Sisargas,GOW
sgd,5,100,0.009112591,0.29030340909957886,Villano-Sisargas,GOW
sgd,5,200,0.009072355,0.2206021398305893,Villano-Sisargas,GOW
sgd,10,10,0.008952713,0.9457042217254639,Villano-Sisargas,GOW
sgd,10,50,0.008873828,0.22681191563606262,Villano-Sisargas,GOW
sgd,10,100,0.008873828,0.19693604111671448,Villano-Sisargas,GOW
sgd,10,200,0.008834646,0.21470971405506134,Villano-Sisargas,GOW
sgd,15,10,0.008913183,1.021054983139038,Villano-Sisargas,GOW
sgd,15,50,0.0087568015,0.39392194151878357,Villano-Sisargas,GOW
sgd,15,100,0.008913183,0.4299474358558655,Villano-Sisargas,GOW
sgd,15,200,0.009032298,0.6641083359718323,Villano-Sisargas,GOW
rmsprop,1,10,0.008952713,0.09614571183919907,Villano-Sisargas,GOW
rmsprop,1,50,0.008267267,0.09351609647274017,Villano-Sisargas,GOW
rmsprop,1,100,0.008050652,0.10073287039995193,Villano-Sisargas,GOW
rmsprop,1,200,0.008527361,0.0968494638800621,Villano-Sisargas,GOW
rmsprop,5,10,0.009112591,0.6631244421005249,Villano-Sisargas,GOW
rmsprop,5,50,0.009112591,0.517953634262085,Villano-Sisargas,GOW
rmsprop,5,100,0.008834646,0.314746230840683,Villano-Sisargas,GOW
rmsprop,5,200,0.009072355,0.3592756986618042,Villano-Sisargas,GOW
rmsprop,10,10,0.009112591,1.442287802696228,Villano-Sisargas,GOW
rmsprop,10,50,0.009032298,0.49214255809783936,Villano-Sisargas,GOW
rmsprop,10,100,0.009072355,0.34882616996765137,Villano-Sisargas,GOW
rmsprop,10,200,0.008952713,0.376865416765213,Villano-Sisargas,GOW
rmsprop,15,10,0.008340759,0.5384070873260498,Villano-Sisargas,GOW
rmsprop,15,50,0.009072355,0.8474280834197998,Villano-Sisargas,GOW
rmsprop,15,100,0.0078050974,1.083357810974121,Villano-Sisargas,GOW
rmsprop,15,200,0.0077363253,1.0833499431610107,Villano-Sisargas,GOW
adam,1,10,0.008679643,0.09261971712112427,Villano-Sisargas,COP
adam,1,50,0.008603166,0.08614079654216766,Villano-Sisargas,COP
adam,1,100,0.008194422,0.08723913878202438,Villano-Sisargas,COP
adam,1,200,0.007668159,0.08759337663650513,Villano-Sisargas,COP
adam,5,10,0.009112591,0.7866033315658569,Villano-Sisargas,COP
adam,5,50,0.009112591,0.5373210310935974,Villano-Sisargas,COP
adam,5,100,0.009112591,0.2741481363773346,Villano-Sisargas,COP
adam,5,200,0.009112591,0.31405016779899597,Villano-Sisargas,COP
adam,10,10,0.009112591,1.308287501335144,Villano-Sisargas,COP
adam,10,50,0.009112591,0.7708511352539062,Villano-Sisargas,COP
adam,10,100,0.009112591,0.4569196105003357,Villano-Sisargas,COP
adam,10,200,0.009072355,0.32390958070755005,Villano-Sisargas,COP
adam,15,10,0.009112591,2.5386455059051514,Villano-Sisargas,COP
adam,15,50,0.009112591,1.3168550729751587,Villano-Sisargas,COP
adam,15,100,0.009112591,1.0861586332321167,Villano-Sisargas,COP
adam,15,200,0.009112591,1.0862702131271362,Villano-Sisargas,COP
sgd,1,10,0.007702166,0.08915670961141586,Villano-Sisargas,COP
sgd,1,50,0.0082307635,0.08544684946537018,Villano-Sisargas,COP
sgd,1,100,0.008414905,0.0847451388835907,Villano-Sisargas,COP
sgd,1,200,0.007303838,0.08436054736375809,Villano-Sisargas,COP
sgd,5,10,0.009032298,0.618405818939209,Villano-Sisargas,COP
sgd,5,50,0.009072355,0.37342116236686707,Villano-Sisargas,COP
sgd,5,100,0.009072355,0.3139413595199585,Villano-Sisargas,COP
sgd,5,200,0.009072355,0.24601785838603973,Villano-Sisargas,COP
sgd,10,10,0.008952713,0.9787437915802002,Villano-Sisargas,COP
